IDENTIFICADOR_EMPRESA,EMPRESA,FECHA,ANIO,TRIMESTRE,HORA,COD_DANE,DEPARTAMENTO,MUNICIPIO,CENTRO_POBLADO,UBICACION,SEXO,EDAD,TIPO_IDENTIFICACION,VINCULADO_EMPRESA,TIPO_VINCULACION,GRADO_ESCOLARIDAD,TIEMPO_VINCULACION,SECCION_EMPRESA,TIPO_LESION,ORIGEN_ACCIDENTE,CAUSA_ACCIDENTE,MEDIDAS
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2015-01-06 00:00:00,2015,2,05:38:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,02/25/2014,2014,1,08:30:00,19130000,CAUCA,CAJIBIO,CAJIBIO,ZONA RURAL DISPERSA,M,38,C.C.,S,CONTRATISTA,BÃSICA PRIMARIA,2,OperaciÃ³n - DistribuciÃ³n,Traumatismos,Impericia en operaciÃ³n,Arcod ElÃ©ctricos,Capacitacion analisis de riesgo Capacitacion en riesgo electrico
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,06/16/2014,2014,2,10:00:00,41298000,HUILA,GARZON,GARZON,SECTOR URBANO,M,30,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,Negligencia en operaciÃ³n,Contacto Directo,Sensibilizacion a la comunidad  frente a peligros de la corriente
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,08/31/2012,2012,3,19:10:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,32,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,Accidentes externos,Contacto Directo,NO APLICA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,03/30/2013,2013,1,10:28:00,70265000,SUCRE,GUARANDA,GUARANDA,ZONA RURAL DISPERSA,F,43,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de InstalaciÃ³n,TensiÃ³n Contacto,Se realizo cambio de cruceta partida d madera  normalizando la estrutura con cruceta metalica se normalizo el serv de energia
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2011-11-06 00:00:00,2011,2,15:45:00,5088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - ComercializaciÃ³n,Otra,Accidentes externos,Contacto Directo,Continuar dando  informaciÃ¯Â¿Â¿n a los usuarios por los medios de comunicaciÃ¯Â¿Â¿n  por cartilla o folletos de no intervenir redes primarias
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,2014-09-03 00:00:00,2014,1,22:51:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,40,C.C.,N,NO APLICA,PROFESIONAL,11111,,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,DISENO Y ENTREGA CARTILLA DE SEGURIDAD DEL USUARIO
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,04/24/2016,2016,2,12:30:00,5837000,ANTIOQUIA,TURBO,TURBO,ZONA RURAL DISPERSA,F,7,OTRO,N,NO APLICA,BÃSICA PRIMARIA,11111,,Muerte,Fallas de aislamiento,Contacto Directo,Se realizaron las correcciones  de lar partes en mal estado
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,07/25/2012,2012,3,04:50:00,5088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,Campana por radio y television  uso seguro de la electricidad
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,10/29/2010,2010,4,14:00:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,33,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Quemaduras,Otra,Otra,No requiere
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,10/21/2019,2019,4,12:45:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,F,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,Otra,Contacto Directo,
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,03/25/2017,2017,1,08:14:00,76892000,VALLE DEL CAUCA,YUMBO,YUMBO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-01-10 00:00:00,2013,4,22:00:00,70708021,SUCRE,SAN MARCOS,CAYO DE LA CRUZ,ZONA RURAL DISPERSA,M,15,T.I.,N,NO APLICA,BACHILLER,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,La brigada de turno de la zona esta procedio a trasladarse al sitio del accidente e identificar la causa del accidente  CLD desenergizo el circuito y se aislo peligro
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,12/14/2013,2013,4,15:15:00,68081000,SANTANDER,BARRANCABERMEJA,BARRANCABERMEJA,SECTOR URBANO,M,16,T.I.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Muerte,Fallas de aislamiento,Contacto Indirecto,NINGUNA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/23/2010,2010,3,17:00:00,47001001,MAGDALENA,SANTA MARTA,BONDA,SECTOR URBANO,M,25,C.C.,S,CONTRATISTA,TÃ‰CNICO,12,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Cortocircuito,Contacto Directo,9
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,2011-09-02 00:00:00,2011,1,18:03:00,66001000,RISARALDA,PEREIRA,PEREIRA,ZONA RURAL DISPERSA,M,50,C.C.,N,NO APLICA,OTRO,11111,,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Directo,GUARDAR DISTANCIAS DE SEGURIDAD
604.0,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,02/17/2015,2015,1,16:30:00,54001000,NORTE DE SANTANDER,CUCUTA,CUCUTA,SECTOR URBANO,M,31,C.C.,S,PLANTA,PROFESIONAL,409,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de aislamiento,Arcod ElÃ©ctricos,Se socializan las lecciones aprendidas con las prtes interesadas de la empresa y se realizan pruebas dielectricas a los elementos aislados
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2017-09-01 00:00:00,2017,2,13:15:00,70110000,SUCRE,BUENAVISTA,BUENAVISTA,CENTRO POBLADO,F,12,T.I.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,Fallas de aislamiento,Contacto Directo,la brigada de electricaribe a cargo de Hermes Herazo procedio inmediatamente a abri la alimentacion electrica a la lampara de alumbrado publico
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,02/29/2020,2020,1,06:00:00,68307000,SANTANDER,GIRON,GIRON,ZONA RURAL DISPERSA,M,14,OTRO,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - TransmisiÃ³n,Quemaduras,Otra,Contacto Indirecto,Socializacion  de los riesgos electricos vinculados al tipo de conexiones indebidas a la malla de encerramietno de la subestacion a los viventes  de la finca aledana Notificar que debe retirar de inmediato el alambre de Pua que tiene conectado a la malla Realizar una actividad  con la comunidad de divulgacion y prevencion de riesgo electrico
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/16/2013,2013,3,17:30:00,47555000,MAGDALENA,PLATO,PLATO,SECTOR URBANO,M,29,C.C.,S,CONTRATISTA,TÃ‰CNICO SENA,40,Mantenimiento - DistribuciÃ³n,Traumatismos,ViolaciÃ³n de Ã¡reas restringidas,Contacto Directo,TENER EN CUENTA EL AST DURANTE LOS TRABAJOS A REALIZAR
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-03-08 00:00:00,2013,3,02:40:00,20060008,CESAR,BOSCONIA,LOMA LINDA,ZONA RURAL DISPERSA,M,44,C.C.,S,CONTRATISTA,OTRO,48,Mantenimiento - DistribuciÃ³n,Traumatismos,Accidentes externos,Contacto Indirecto,Capacitacion de manejo defensivosocializar analisis de causas y enfatizar en que el copiloto  mantenga un dialogo continuo con el conductor para evitar el quedarse dormido manejando el vehiculo
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,04/14/2014,2014,2,08:40:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,09/22/2011,2011,3,11:30:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,Otra,Otra,No requiere
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,08/17/2016,2016,3,17:30:00,5495000,ANTIOQUIA,NECHI,NECHI,ZONA RURAL DISPERSA,M,99,N.N.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,Campana por radio y television  uso seguro de la electricidad
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2014-05-09 00:00:00,2014,3,15:50:00,5604000,ANTIOQUIA,REMEDIOS,REMEDIOS,ZONA RURAL DISPERSA,M,16,T.I.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,Otra,Otra,Por parte de empresa se demarco el area en Riesgo de contacto y Planeacion Municipal suspendio nuevamente las labores
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-05-02 00:00:00,2013,1,20:53:00,44001000,LA GUAJIRA,RIOHACHA,RIOHACHA,SECTOR URBANO,M,7,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Muerte,Otra,Arcod ElÃ©ctricos,Se realizo reparacion de la linea rota y del cruce primario donde ocurrio el dano
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/16/2010,2010,3,10:23:00,44430002,LA GUAJIRA,MAICAO,CARRAIPIA,SECTOR URBANO,M,4,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Traumatismos,Fallas de mantenimiento,Contacto Directo,39
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,09/26/2016,2016,3,14:05:00,68081002,SANTANDER,BARRANCABERMEJA,EL LLANITO,ZONA RURAL DISPERSA,M,54,C.C.,S,PLANTA,TECNÃ“LOGO,300,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Malos contactos,Contacto Directo,socializar leccion aprendida actualizar procedimiento y estandarizar uso de equipo de medicion
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/23/2019,2019,4,09:30:00,70508000,SUCRE,OVEJAS,OVEJAS,CENTRO POBLADO,M,50,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de aislamiento,Contacto Directo,Se procede a dejar la vivienda sin energia para que reparen el dano interno
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/21/2011,2011,4,16:02:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,no requiere
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/23/2010,2010,3,17:00:00,47001001,MAGDALENA,SANTA MARTA,BONDA,SECTOR URBANO,M,25,C.C.,S,CONTRATISTA,TÃ‰CNICO,12,OperaciÃ³n - DistribuciÃ³n,Quemaduras,Cortocircuito,Arcod ElÃ©ctricos,39
2016.0,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,06/25/2015,2015,2,11:30:00,86571007,PUTUMAYO,PUERTO GUZMAN,EL JUANO,ZONA RURAL DISPERSA,M,23,C.C.,S,PLANTA,TÃ‰CNICO SENA,44,Labores de ComercializaciÃ³n,Otra,Otra,Otra,Tener mayor Precaucion
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-01-03 00:00:00,2013,1,18:30:00,87580000,,,,SECTOR URBANO,M,37,C.C.,N,NO APLICA,BACHILLER,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Accidentes externos,TensiÃ³n Contacto,Se despejo peligro para los usuarios organizando acometidas
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/27/2016,2017,4,15:19:00,47001000,MAGDALENA,SANTA MARTA,SANTA MARTA,CENTRO POBLADO,F,52,C.C.,N,NO APLICA,OTRO,11111,Labores de ComercializaciÃ³n,Quemaduras,Otra,Otra,No se encontro anomalia alguna en las instalaciones que ocasionaran un accidente
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,02/28/2013,2013,1,17:50:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,42,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,Accidentes externos,Contacto Indirecto,
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2017-02-09 00:00:00,2017,3,19:13:00,76892000,VALLE DEL CAUCA,YUMBO,YUMBO,SECTOR URBANO,F,11,T.I.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2016-05-08 00:00:00,2016,3,08:30:00,20060000,CESAR,BOSCONIA,BOSCONIA,CENTRO POBLADO,M,43,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Muerte,UniÃ³n y separaciÃ³n constante de gases con presencia de un aislante,Contacto Indirecto,Como medida de seguridad tomada por el centro de control CLD se abrieron los circuitos BOSCONIA 1 y BOSCONIA 2 la brigada llega al sitio y normaliza la acometida
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2010-06-10 00:00:00,2010,4,11:11:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,24,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,No requiere
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,06/23/2017,2017,2,12:00:00,41319000,HUILA,GUADALUPE,GUADALUPE,ZONA RURAL DISPERSA,M,50,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,Apertura interruptores con carga,Contacto Indirecto,Sensibilizacion a la comunidad  frente a peligros de la corriente
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,12/30/2017,2017,4,09:05:00,5686000,ANTIOQUIA,SANTA ROSA DE OSOS,SANTA ROSA DE OSOS,ZONA RURAL DISPERSA,M,47,C.C.,S,CONTRATISTA,BÃSICA PRIMARIA,34,OperaciÃ³n - DistribuciÃ³n,Quemaduras,DesatenciÃ³n de normas tÃ©cnicas,Contacto Directo,capacitacion en  las Reglas de Oro
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/23/2014,2014,4,02:40:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,20,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,2011-07-11 00:00:00,2011,4,10:15:00,19532000,CAUCA,PATIA,EL BORDO,SECTOR URBANO,F,15,T.I.,N,NO APLICA,BACHILLER,11111,Mantenimiento - TransmisiÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,Desconocimiento de los riesgos asociados e la energÃ¯Â¿Â¿a electrica
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,08/27/2011,2011,3,19:48:00,5266000,ANTIOQUIA,ENVIGADO,ENVIGADO,SECTOR URBANO,M,52,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,CONOCER  LOS RIESGOS ELECTRICOS  QUE SE GENERAN AL MANIPULAR ELEMENTOS METALICOS CERCA A REDES DE MEDIA TENSION Y DESNUDAS.
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,09/14/2011,2011,3,10:10:00,5360000,ANTIOQUIA,ITAGUI,ITAGUI,SECTOR URBANO,M,22,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,CONOCER  LOS RIESGOS ELECTRICOS  QUE SE GENERAN AL MANIPULAR ELEMENTOS METALICOS  CERCA A REDES DE MEDIA TENSION Y DESNUDAS.
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2011-09-03 00:00:00,2011,1,15:02:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,30,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,Informacion
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,07/23/2011,2011,3,17:40:00,5660000,ANTIOQUIA,SAN LUIS,SAN LUIS,SECTOR URBANO,F,99,C.C.,N,NO APLICA,OTRO,11111,Otro - ComercializaciÃ³n,Quemaduras,ViolaciÃ³n de Ã¡reas restringidas,Contacto Directo,CAMBIAR CABLE DESNUDO POR CABLE AISLADO
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,02/25/2020,2020,1,12:47:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,20,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,ElectrÃ³lisis,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,Accidente en investigacion
30111.0,CONELCA  S.A.S.  E.S.P.,2017-12-04 00:00:00,2017,1,09:00:00,47245000,MAGDALENA,EL BANCO,EL BANCO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - TransmisiÃ³n,Otra,Otra,Otra,Debido a las buenas practicas de ejecucion de los trabajos no se presentaron accidentes de origen electrico por lo cual no se han adaptado medidas extras para la ejecucion de los trabajos
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/18/2015,2015,2,15:00:00,44874000,LA GUAJIRA,VILLANUEVA,VILLANUEVA,SECTOR URBANO,M,42,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Rayos,Rayos,Se inspecciono el sector reportado y no se encontro dano alguno
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2013-07-03 00:00:00,2013,1,17:40:00,86569000,PUTUMAYO,PUERTO CAICEDO,PUERTO CAICEDO,ZONA RURAL DISPERSA,M,37,C.C.,S,PLANTA,BÃSICA PRIMARIA,50,Labores de ComercializaciÃ³n,Otra,Otra,Otra,39
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,09/29/2012,2012,3,12:00:00,86320000,PUTUMAYO,ORITO,ORITO,ZONA RURAL DISPERSA,M,42,C.C.,S,PLANTA,PROFESIONAL,33,Otro - ComercializaciÃ³n,Otra,Otra,Otra,39
536.0,CELSIA COLOMBIA S.A. E.S.P.,09/15/2011,2011,3,15:53:00,76113000,VALLE DEL CAUCA,BUGALAGRANDE,BUGALAGRANDE,SECTOR URBANO,M,40,C.C.,S,PLANTA,BACHILLER,6,Mantenimiento - DistribuciÃ³n,Quemaduras,DesatenciÃ³n de normas tÃ©cnicas,Contacto Directo,Aislar o recubrir partes activas
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,11/20/2017,2017,4,19:16:00,68001000,SANTANDER,BUCARAMANGA,BUCARAMANGA,SECTOR URBANO,M,35,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,Accidentes externos,Contacto Directo,inspeccion en sitio
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,02/21/2014,2014,1,12:30:00,68655006,SANTANDER,SABANA DE TORRES,VERACRUZ KILOMETRO 80,ZONA RURAL DISPERSA,M,27,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Muerte,Impericia en operaciÃ³n,Contacto Indirecto,
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,2014-07-07 00:00:00,2014,3,16:16:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,20,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,,ElectrÃ³lisis,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,ENTREGA DE CARTILLAS DE SEGURIDAD A LOS USUARIOS
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2016-01-04 00:00:00,2016,3,09:30:00,47745000,MAGDALENA,SITIONUEVO,SITIONUEVO,SECTOR URBANO,M,9,OTRO,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,Fallas de InstalaciÃ³n,Contacto Directo,Brigada 0531 de Salamina repara tramo de red BT caido
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,01/13/2014,2014,1,16:41:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,TÃ‰CNICO,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,01/13/2014,2014,1,16:41:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,TÃ‰CNICO,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,10/18/2016,2017,4,14:00:00,47001000,MAGDALENA,SANTA MARTA,SANTA MARTA,CENTRO POBLADO,M,2,OTRO,N,NO APLICA,OTRO,11111,Labores de ComercializaciÃ³n,Quemaduras,Fallas de mantenimiento,Contacto Directo,Se realizo la reparacion que consistio en el levantamiento y retension del cable de la red de baja tension que se cayo al suelo
536.0,CELSIA COLOMBIA S.A. E.S.P.,02/16/2017,2017,1,11:35:00,76109000,VALLE DEL CAUCA,BUENAVENTURA,BUENAVENTURA,SECTOR URBANO,M,17,OTRO,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - ComercializaciÃ³n,Quemaduras,Accidentes externos,Contacto Directo,Actualmente el colegio en su construccion disminuye la distancia minima de seguridad se analiza por parte de la empresa la posibilidad de realizar una reforma de redes para evitar futuros accidentes
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,03/24/2014,2014,1,09:15:00,5480000,ANTIOQUIA,MUTATA,MUTATA,SECTOR URBANO,M,2,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Accidentes externos,Contacto Directo,Contacto directo  en baja tension a  110vca  se socializo por parte de epm a la comunidad con el fin de concientizar sobre el peligro de manipular las redes
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2011-08-02 00:00:00,2011,1,14:41:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,F,10,N.N.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Indirecto,No requiere
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,12/22/2014,2014,4,09:00:00,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,SECTOR URBANO,M,47,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Derivadas,Otra,Contacto Indirecto,El supervisor que llego al sitio del accidente senalizo el area y aislo la acometida mientras que llego la cuadrilla de operaciones domiciliarias a reparar la acometida
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/14/2012,2012,4,18:10:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Arcod ElÃ©ctricos,NO APLICA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,02/20/2017,2017,1,11:41:00,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,CENTRO POBLADO,M,7,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Muerte,Otra,Contacto Indirecto,No aplica evento ocurrio en redes de telecomunicaciones internas de la vivienda
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/18/2017,2017,4,16:00:00,47001000,MAGDALENA,SANTA MARTA,SANTA MARTA,SECTOR URBANO,F,1,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Fallas de aislamiento,Contacto Directo,La brigada procedio a instalar el aislador en la retenida para aislar el peligro
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2014-12-10 00:00:00,2014,4,07:30:00,5088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,35,C.C.,N,NO APLICA,TÃ‰CNICO SENA,11111,Otro - ComercializaciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,Campana por radio y television  uso seguro de la electricidad
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,08/31/2014,2014,3,14:00:00,68001000,SANTANDER,BUCARAMANGA,BUCARAMANGA,SECTOR URBANO,M,31,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Indirecto,no
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,01/23/2016,2016,3,07:30:00,70001000,SUCRE,SINCELEJO,SINCELEJO,CENTRO POBLADO,M,55,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Otra,Accidentes externos,Arcod ElÃ©ctricos,SE INFORMO QUE PERSONAS QUE NO TIENEN LAS COMPETENCIAS Y CONOCIMIENTOS  PARA EL TRABAJO DE PODA NO PUEDEN HACER ESTOS TRABAJO
